"season","game_id","game_date","goalie_id","goalie_name","save","angle","distance","home","game_score_state","rebound","strength","shot_type","round","recent_save_30","recent_save_60","recent_save_90","recent_save_120","recent_save_150","long_run_save_840","xprime_30","xprime_60","xprime_90","xprime_120","xprime_150"
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,32.5,13,0,"Leading",0,"0","Tip-In",0,0.766666666666667,0.833333333333333,0.877777777777778,0.875,0.9,0.907142857142857,-0.14047619047619,-0.0738095238095238,-0.0293650793650794,-0.0321428571428571,-0.00714285714285712
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,31.6,15.3,0,"Leading",0,"0","Wrist Shot",0,0.766666666666667,0.833333333333333,0.888888888888889,0.875,0.9,0.907142857142857,-0.14047619047619,-0.0738095238095238,-0.0182539682539683,-0.0321428571428571,-0.00714285714285712
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,48.2,37.5,0,"Leading",0,"0","Slap Shot",0,0.766666666666667,0.833333333333333,0.888888888888889,0.875,0.9,0.907142857142857,-0.14047619047619,-0.0738095238095238,-0.0182539682539683,-0.0321428571428571,-0.00714285714285712
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,8.9,51.6,0,"Leading",0,"+","Slap Shot",0,0.766666666666667,0.833333333333333,0.888888888888889,0.875,0.9,0.907142857142857,-0.14047619047619,-0.0738095238095238,-0.0182539682539683,-0.0321428571428571,-0.00714285714285712
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,23.2,30.5,0,"Leading",0,"+","Wrist Shot",0,0.766666666666667,0.85,0.888888888888889,0.875,0.9,0.908333333333333,-0.141666666666667,-0.0583333333333333,-0.0194444444444445,-0.0333333333333333,-0.0083333333333333
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",1,45,33.9,0,"Leading",0,"0","Wrist Shot",0,0.766666666666667,0.85,0.888888888888889,0.875,0.9,0.908333333333333,-0.141666666666667,-0.0583333333333333,-0.0194444444444445,-0.0333333333333333,-0.0083333333333333
"20222023","2022030234",2023-05-09,"8479979","Jake.Oettinger",0,24.4,58.2,0,"Leading",0,"0","Slap Shot",0,0.766666666666667,0.85,0.888888888888889,0.875,0.9,0.908333333333333,-0.141666666666667,-0.0583333333333333,-0.0194444444444445,-0.0333333333333333,-0.0083333333333333
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,30.3,61.4,1,"Tied",0,"0","Slap Shot",0,0.733333333333333,0.833333333333333,0.877777777777778,0.866666666666667,0.893333333333333,0.907142857142857,-0.173809523809524,-0.0738095238095238,-0.0293650793650794,-0.0404761904761904,-0.0138095238095238
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,33.4,56.3,1,"Tied",0,"0","Slap Shot",0,0.733333333333333,0.833333333333333,0.877777777777778,0.866666666666667,0.893333333333333,0.907142857142857,-0.173809523809524,-0.0738095238095238,-0.0293650793650794,-0.0404761904761904,-0.0138095238095238
"20222023","2022030235",2023-05-11,"8479979","Jake.Oettinger",1,49,30.5,1,"Tied",0,"0","Wrist Shot",0,0.733333333333333,0.833333333333333,0.877777777777778,0.866666666666667,0.893333333333333,0.907142857142857,-0.173809523809524,-0.0738095238095238,-0.0293650793650794,-0.0404761904761904,-0.0138095238095238
